Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2016-17 
CALPADS Fall 1 
Certification Status"
2016-2017,1,61192,111815,Alameda,Hayward Unified,Stonebrae Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,710,290,40.80%,348,49.00%,710,290,40.80%,348,49.00%,Y
2016-2017,1,61192,113902,Alameda,Hayward Unified,Impact Academy of Arts & Technology,Unified School District,High Schools (Public),Traditional,,Yes,836,Directly funded,Y,9,12,587,246,41.90%,357,60.80%,579,243,42.00%,354,61.10%,Y
2016-2017,1,61192,119248,Alameda,Hayward Unified,Golden Oak Montessori of Hayward,Unified School District,Elementary Schools (Public),Traditional,,Yes,1067,Directly funded,Y,1,8,239,55,23.00%,92,38.50%,239,55,23.00%,92,38.50%,Y
2016-2017,1,61192,127696,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy,Unified School District,Elementary Schools (Public),Traditional,,Yes,1514,Directly funded,Y,K,8,559,315,56.40%,365,65.30%,542,304,56.10%,351,64.80%,Y
2016-2017,1,61192,127944,Alameda,Hayward Unified,Silver Oak High Public Montessori Charter,Unified School District,High Schools (Public),Traditional,,Yes,1543,Directly funded,Y,9,12,188,76,40.40%,94,50.00%,178,71,39.90%,87,48.90%,Y
2016-2017,1,61192,131334,Alameda,Hayward Unified,Highland,Unified School District,Special Education Schools (Public),Special Education School,,No ,,,N,K,12,14,10,71.40%,10,71.40%,14,10,71.40%,10,71.40%,Y
2016-2017,1,61192,133009,Alameda,Hayward Unified,Brenkwitz High,Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,200,107,53.50%,119,59.50%,150,79,52.70%,91,60.70%,Y
2016-2017,1,61192,133629,Alameda,Hayward Unified,Hayward High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1576,865,54.90%,1035,65.70%,1532,841,54.90%,1007,65.70%,Y
2016-2017,1,61192,135319,Alameda,Hayward Unified,Mt. Eden High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,2007,1003,50.00%,1227,61.10%,1950,978,50.20%,1198,61.40%,Y
2016-2017,1,61192,138339,Alameda,Hayward Unified,Tennyson High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1394,907,65.10%,1064,76.30%,1315,846,64.30%,999,76.00%,Y
2016-2017,1,61192,6000889,Alameda,Hayward Unified,Bowman Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,366,223,60.90%,264,72.10%,366,223,60.90%,264,72.10%,Y
2016-2017,1,61192,6000905,Alameda,Hayward Unified,Burbank Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,917,516,56.30%,648,70.70%,908,511,56.30%,641,70.60%,Y
2016-2017,1,61192,6000913,Alameda,Hayward Unified,Cherryland Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,788,565,71.70%,644,81.70%,775,557,71.90%,634,81.80%,Y
2016-2017,1,61192,6000921,Alameda,Hayward Unified,East Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,611,286,46.80%,332,54.30%,601,283,47.10%,328,54.60%,Y
2016-2017,1,61192,6000947,Alameda,Hayward Unified,Eldridge Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,476,274,57.60%,345,72.50%,476,274,57.60%,345,72.50%,Y
2016-2017,1,61192,6000962,Alameda,Hayward Unified,Fairview Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,579,326,56.30%,406,70.10%,560,316,56.40%,392,70.00%,Y
2016-2017,1,61192,6000988,Alameda,Hayward Unified,Glassbrook Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,556,424,76.30%,472,84.90%,544,414,76.10%,461,84.70%,Y
2016-2017,1,61192,6000996,Alameda,Hayward Unified,Harder Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,610,421,69.00%,485,79.50%,610,421,69.00%,485,79.50%,Y
2016-2017,1,61192,6001044,Alameda,Hayward Unified,Longwood Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,708,491,69.40%,568,80.20%,696,482,69.30%,559,80.30%,Y
2016-2017,1,61192,6001051,Alameda,Hayward Unified,Lorin A. Eden Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,464,225,48.50%,271,58.40%,464,225,48.50%,271,58.40%,Y
2016-2017,1,61192,6001093,Alameda,Hayward Unified,Palma Ceia Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,588,342,58.20%,416,70.70%,588,342,58.20%,416,70.70%,Y
2016-2017,1,61192,6001101,Alameda,Hayward Unified,Park Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,584,365,62.50%,428,73.30%,571,356,62.30%,419,73.40%,Y
2016-2017,1,61192,6001127,Alameda,Hayward Unified,Ruus Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,573,302,52.70%,386,67.40%,556,292,52.50%,376,67.60%,Y
2016-2017,1,61192,6001135,Alameda,Hayward Unified,Schafer Park Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,734,492,67.00%,582,79.30%,723,486,67.20%,574,79.40%,Y
2016-2017,1,61192,6001176,Alameda,Hayward Unified,Southgate Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,699,297,42.50%,371,53.10%,684,295,43.10%,368,53.80%,Y
2016-2017,1,61192,6001192,Alameda,Hayward Unified,Treeview Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,496,284,57.30%,329,66.30%,496,284,57.30%,329,66.30%,Y
2016-2017,1,61192,6056931,Alameda,Hayward Unified,Bret Harte Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,7,8,637,319,50.10%,373,58.60%,637,319,50.10%,373,58.60%,Y
2016-2017,1,61192,6056949,Alameda,Hayward Unified,Cesar Chavez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,,,N,7,8,567,390,68.80%,463,81.70%,567,390,68.80%,463,81.70%,Y
2016-2017,1,61192,6056956,Alameda,Hayward Unified,Anthony W. Ochoa Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,7,8,583,319,54.70%,393,67.40%,583,319,54.70%,393,67.40%,Y
2016-2017,1,61192,6056972,Alameda,Hayward Unified,Winton Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,,,N,7,8,505,335,66.30%,399,79.00%,505,335,66.30%,399,79.00%,Y
2016-2017,1,61192,6062160,Alameda,Hayward Unified,Strobridge Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,550,356,64.70%,409,74.40%,550,356,64.70%,409,74.40%,Y
2016-2017,1,61192,6066476,Alameda,Hayward Unified,"Martin Luther King, Jr. Middle",Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,,,N,7,8,745,462,62.00%,548,73.60%,745,462,62.00%,548,73.60%,Y
2016-2017,1,61192,6090583,Alameda,Hayward Unified,Eden Gardens Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,589,264,44.80%,328,55.70%,589,264,44.80%,328,55.70%,Y
2016-2017,1,61192,6104566,Alameda,Hayward Unified,Tyrrell Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,735,576,78.40%,647,88.00%,735,576,78.40%,647,88.00%,Y
2016-2017,1,61192,6113815,Alameda,Hayward Unified,Faith Ringgold School of Arts and Science,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,135,83,61.50%,93,68.90%,135,83,61.50%,93,68.90%,Y
2016-2017,1,61200,1,Alameda,Livermore Valley Joint Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,22,0,0.00%,0,0.00%,20,0,0.00%,0,0.00%,Y
2016-2017,1,61200,107839,Alameda,Livermore Valley Joint Unified,Livermore Valley Charter,Unified School District,Elementary Schools (Public),Traditional,,Yes,1565,Directly funded,Y,K,8,785,49,6.20%,62,7.90%,776,49,6.30%,62,8.00%,Y
2016-2017,1,61200,120931,Alameda,Livermore Valley Joint Unified,Livermore Valley Charter Preparatory High,Unified School District,High Schools (Public),Traditional,,Yes,1124,Directly funded,Y,9,12,307,40,13.00%,48,15.60%,298,39,13.10%,47,15.80%,Y
2016-2017,1,61200,130393,Alameda,Livermore Valley Joint Unified,Vineyard Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,1,12,131,23,17.60%,29,22.10%,125,22,17.60%,28,22.40%,Y
2016-2017,1,61200,132670,Alameda,Livermore Valley Joint Unified,Del Valle Continuation High,Unified School District,Continuation High Schools,Continuation School,,No ,,,N,7,12,121,58,47.90%,65,53.70%,94,47,50.00%,53,56.40%,Y
2016-2017,1,61200,133397,Alameda,Livermore Valley Joint Unified,Granada High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,2164,289,13.40%,346,16.00%,2076,272,13.10%,325,15.70%,Y
2016-2017,1,61200,134536,Alameda,Livermore Valley Joint Unified,Livermore High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1810,302,16.70%,371,20.50%,1754,285,16.20%,353,20.10%,Y
2016-2017,1,61200,6001234,Alameda,Livermore Valley Joint Unified,Junction K-8,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,843,507,60.10%,571,67.70%,830,499,60.10%,563,67.80%,Y
2016-2017,1,61200,6001242,Alameda,Livermore Valley Joint Unified,East Avenue Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,618,151,24.40%,191,30.90%,618,151,24.40%,191,30.90%,Y
2016-2017,1,61200,6001259,Alameda,Livermore Valley Joint Unified,Emma C. Smith Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,764,46,6.00%,62,8.10%,751,46,6.10%,62,8.30%,Y
2016-2017,1,61200,6001283,Alameda,Livermore Valley Joint Unified,Jackson Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,537,198,36.90%,228,42.50%,523,194,37.10%,224,42.80%,Y
2016-2017,1,61200,6001291,Alameda,Livermore Valley Joint Unified,Joe Michell,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,737,151,20.50%,192,26.10%,722,148,20.50%,189,26.20%,Y
2016-2017,1,61200,6001317,Alameda,Livermore Valley Joint Unified,Marylin Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,410,301,73.40%,333,81.20%,394,294,74.60%,325,82.50%,Y
2016-2017,1,61200,6001341,Alameda,Livermore Valley Joint Unified,William Mendenhall Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,977,70,7.20%,94,9.60%,977,70,7.20%,94,9.60%,Y
2016-2017,1,61200,6071906,Alameda,Livermore Valley Joint Unified,Arroyo Seco Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,660,120,18.20%,152,23.00%,650,118,18.20%,150,23.10%,Y
2016-2017,1,61200,6085773,Alameda,Livermore Valley Joint Unified,Andrew N. Christensen Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,625,87,13.90%,104,16.60%,625,87,13.90%,104,16.60%,Y
2016-2017,1,61200,6089338,Alameda,Livermore Valley Joint Unified,Rancho Las Positas Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,565,96,17.00%,119,21.10%,549,94,17.10%,117,21.30%,Y
2016-2017,1,61200,6097661,Alameda,Livermore Valley Joint Unified,Sunset Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,795,42,5.30%,51,6.40%,794,42,5.30%,51,6.40%,Y
2016-2017,1,61200,6110332,Alameda,Livermore Valley Joint Unified,Leo R. Croce Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,P,5,594,109,18.40%,130,21.90%,577,107,18.50%,128,22.20%,Y
2016-2017,1,61200,6117543,Alameda,Livermore Valley Joint Unified,Altamont Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,551,83,15.10%,99,18.00%,536,82,15.30%,97,18.10%,Y
2016-2017,1,61218,6001358,Alameda,Mountain House Elementary,Mountain House Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,,No ,,,N,K,8,16,12,75.00%,12,75.00%,16,12,75.00%,12,75.00%,Y
2016-2017,1,61234,1,Alameda,Newark Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,5,1,20.00%,1,20.00%,4,1,25.00%,1,25.00%,Y
2016-2017,1,61234,130054,Alameda,Newark Unified,Newark Memorial High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1703,558,32.80%,759,44.60%,1667,543,32.60%,740,44.40%,Y
2016-2017,1,61234,130484,Alameda,Newark Unified,Crossroads High (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,K,12,55,14,25.50%,15,27.30%,52,13,25.00%,14,26.90%,Y
2016-2017,1,61234,135426,Alameda,Newark Unified,Bridgepoint High (Continuation),Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,72,36,50.00%,42,58.30%,56,28,50.00%,33,58.90%,Y
2016-2017,1,61234,6001440,Alameda,Newark Unified,August Schilling Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,441,251,56.90%,332,75.30%,425,245,57.60%,325,76.50%,Y
2016-2017,1,61234,6001457,Alameda,Newark Unified,E. L. Musick Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,285,148,51.90%,185,64.90%,284,148,52.10%,185,65.10%,Y
2016-2017,1,61234,6001473,Alameda,Newark Unified,H. A. Snow Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,369,135,36.60%,183,49.60%,369,135,36.60%,183,49.60%,Y
2016-2017,1,61234,6001481,Alameda,Newark Unified,James A. Graham Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,376,213,56.60%,267,71.00%,376,213,56.60%,267,71.00%,Y
2016-2017,1,61234,6001499,Alameda,Newark Unified,James L. Bunker Elementary,Unified School District,Elementary Schools (Public),Traditional,,No,,,N,K,6,382,81,21.20%,116,30.40%,370,75,20.30%,110,29.70%,Y
2016-2017,1,61234,6001507,Alameda,Newark Unified,John F. Kennedy Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,370,81,21.90%,95,25.70%,370,81,21.90%,95,25.70%,Y
2016-2017,1,61234,6001523,Alameda,Newark Unified,Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,400,160,40.00%,208,52.00%,388,157,40.50%,204,52.60%,Y
2016-2017,1,61234,6001531,Alameda,Newark Unified,Louis Milani Elementary,Unified School District,Elementary Schools (Public),Traditional,,No,,,N,K,6,486,151,31.10%,188,38.70%,486,151,31.10%,188,38.70%,Y
2016-2017,1,61234,6102917,Alameda,Newark Unified,Newark Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,7,8,901,347,38.50%,462,51.30%,901,347,38.50%,462,51.30%,Y
2016-2017,1,61242,1,Alameda,New Haven Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,20,2,10.00%,2,10.00%,17,2,11.80%,2,11.80%,Y
2016-2017,1,61242,110460,Alameda,New Haven Unified,Core Learning Academy at Conley-Caraballo High,Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,149,71,47.70%,80,53.70%,116,55,47.40%,62,53.40%,Y
2016-2017,1,61242,110478,Alameda,New Haven Unified,Alternative Learning Academy at Conley-Caraballo High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,9,12,12,6,50.00%,8,66.70%,9,4,44.40%,6,66.70%,Y
2016-2017,1,61242,126763,Alameda,New Haven Unified,Decoto School for Independent Study,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,K,12,138,60,43.50%,66,47.80%,108,52,48.10%,57,52.80%,Y
2016-2017,1,61242,134668,Alameda,New Haven Unified,James Logan High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,3750,1315,35.10%,1699,45.30%,3644,1267,34.80%,1646,45.20%,Y
2016-2017,1,61242,6001572,Alameda,New Haven Unified,Alvarado Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,800,298,37.30%,409,51.10%,785,295,37.60%,404,51.50%,Y
2016-2017,1,61242,6001606,Alameda,New Haven Unified,Hillview Crest Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,555,335,60.40%,407,73.30%,543,329,60.60%,401,73.80%,Y
2016-2017,1,61242,6001622,Alameda,New Haven Unified,Searles Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,697,390,56.00%,462,66.30%,683,383,56.10%,452,66.20%,Y
2016-2017,1,61242,6068266,Alameda,New Haven Unified,Itliong-Vera Cruz,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,1444,436,30.20%,577,40.00%,1444,436,30.20%,577,40.00%,Y
2016-2017,1,61242,6097679,Alameda,New Haven Unified,Cesar Chavez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,1255,642,51.20%,776,61.80%,1255,642,51.20%,776,61.80%,Y
2016-2017,1,61242,6101604,Alameda,New Haven Unified,Pioneer Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,819,224,27.40%,296,36.10%,804,220,27.40%,292,36.30%,Y
2016-2017,1,61242,6115505,Alameda,New Haven Unified,Tom Kitayama Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,831,282,33.90%,350,42.10%,816,276,33.80%,344,42.20%,Y
2016-2017,1,61242,6115554,Alameda,New Haven Unified,Guy Jr. Emanuele Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,619,318,51.40%,392,63.30%,605,312,51.60%,386,63.80%,Y
2016-2017,1,61242,6118525,Alameda,New Haven Unified,Delaine Eastin Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,804,146,18.20%,208,25.90%,789,140,17.70%,201,25.50%,Y
2016-2017,1,61259,1,Alameda,Oakland Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,139,38,27.30%,38,27.30%,131,36,27.50%,36,27.50%,Y
2016-2017,1,61259,100065,Alameda,Oakland Unified,Oakland Unity High,Unified School District,High Schools (Public),Traditional,,Yes,510,Directly funded,Y,9,12,345,239,69.30%,291,84.30%,333,230,69.10%,282,84.70%,Y
2016-2017,1,61259,100123,Alameda,Oakland Unified,East Oakland Leadership Academy,Unified School District,Elementary Schools (Public),Traditional,,Yes,499,Directly funded,Y,K,8,115,109,94.80%,109,94.80%,115,109,94.80%,109,94.80%,Y
2016-2017,1,61259,100701,Alameda,Oakland Unified,MetWest High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,171,124,72.50%,131,76.60%,163,119,73.00%,126,77.30%,Y
2016-2017,1,61259,100792,Alameda,Oakland Unified,Think College Now,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,,,N,K,5,305,250,82.00%,270,88.50%,305,250,82.00%,270,88.50%,Y
2016-2017,1,61259,102988,Alameda,Oakland Unified,EnCompass Academy Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,315,272,86.30%,285,90.50%,304,262,86.20%,275,90.50%,Y
